19;NULL;SOC. LIMITADA;19720124;20200625;SOGAMOSO;G;4663; Comercio al por mayor de materiales de construccion  articulos de ferreteria  pinturas  productos de vidrio  equipo y materiales de fontaneria y calefaccion;FERRETERÍAS, VIDRIERIAS Y PINTURAS;COMERCIO AL POR MAYOR Y AL POR MENOR/REPARACION DE VEHICULOS AUTOMOTORES Y MOTOCICLETAS;3001343000;0;AFILIADO;1;PEQUEÑA
205;NULL;SOC. ANONIMA;19550525;20200623;SOGAMOSO;E;3600; Captacion  tratamiento y distribucion de agua;CAPTACION, TRATAMIENTO Y DISTRIBUCION DE AGUA;DISTRIBUCION DE AGUA, TRATAMIENTO DE RESIDUOS Y AGUAS RESIDUALES;63142982161;0;AFILIADO;175;GRANDE
302;NULL;SOC. ANONIMA;19700827;20200319;SOGAMOSO;H;4921; Transporte de pasajeros;TRANSPORTE DE PASAJEROS;TRANSPORTE, ALMACENAMIENTO Y MENSAJERIA;671415526;0;AFILIADO;1;PEQUEÑA
422;NULL;SOC. ANONIMA;19650216;20200624;SOGAMOSO;H;4921; Transporte de pasajeros;TRANSPORTE DE PASAJEROS;TRANSPORTE, ALMACENAMIENTO Y MENSAJERIA;18796499954;0;NO AFILIADO;1;GRANDE
653;NULL;PERSONA;19720515;20200205;SOGAMOSO;S;9529; Mantenimiento y reparacion de otros efectos personales y enseres domesticos;REPARACION MUEBLES Y ELECTRODOMESTICOS;OTRAS ACTIVIDADES DE SERVICIO;11268000;0;NO AFILIADO;1;PEQUEÑA
859;NULL;SOC. LIMITADA;19721014;20200603;SOGAMOSO;F;4111; Construccion de edificios residenciales;CONSTRUCCION DE EDIFICIOS;CONSTRUCCION;574401000;0;NO AFILIADO;3;PEQUEÑA
1005;NULL;PERSONA;19920721;20200317;SOGAMOSO;G;4663; Comercio al por mayor de materiales de construccion  articulos de ferreteria  pinturas  productos de vidrio  equipo y materiales de fontaneria y calefaccion;FERRETERÍAS, VIDRIERIAS Y PINTURAS;COMERCIO AL POR MAYOR Y AL POR MENOR/REPARACION DE VEHICULOS AUTOMOTORES Y MOTOCICLETAS;46800796;0;NO AFILIADO;9;PEQUEÑA
1037;NULL;PERSONA;19730328;20200211;SOGAMOSO;G;4772; Comercio al por menor de todo tipo de calzado y articulos de cuero y sucedaneos del cuero en establecimientos especializados;COMERCIO DE CALZADO;COMERCIO AL POR MAYOR Y AL POR MENOR/REPARACION DE VEHICULOS AUTOMOTORES Y MOTOCICLETAS;15551000;0;NO AFILIADO;1;PEQUEÑA
1254;NULL;PERSONA;19731107;20200128;SOGAMOSO;B;510; Extraccion de hulla (carbon de piedra);EXTRACCION DE CARBÓN;EXPLOTACION DE MINAS Y CANTERAS;5064817076;0;NO AFILIADO;2;MICRO
1337;NULL;SOC. LIMITADA;19740204;20200619;SOGAMOSO;H;5221; Actividades de estaciones  vias y servicios complementarios para el transporte terrestre;PARQUEADEROS Y LAVADEROS;TRANSPORTE, ALMACENAMIENTO Y MENSAJERIA;8312283125;0;AFILIADO;1;MEDIANA
1618;NULL;PERSONA;19741014;20200221;SOGAMOSO;G;4772; Comercio al por menor de todo tipo de calzado y articulos de cuero y sucedaneos del cuero en establecimientos especializados;COMERCIO DE CALZADO;COMERCIO AL POR MAYOR Y AL POR MENOR/REPARACION DE VEHICULOS AUTOMOTORES Y MOTOCICLETAS;18371000;0;NO AFILIADO;1;PEQUEÑA
1715;NULL;PERSONA;19881111;20200703;SOGAMOSO;S;9602; Peluqueria y otros tratamientos de belleza;PELUQUERIAS / SALAS DE BELLEZA / SPA;OTRAS ACTIVIDADES DE SERVICIO;7000000;0;NO AFILIADO;1;PEQUEÑA
1863;NULL;SOC. ANONIMA;19750624;20200318;SOGAMOSO;H;4921; Transporte de pasajeros;TRANSPORTE DE PASAJEROS;TRANSPORTE, ALMACENAMIENTO Y MENSAJERIA;165351000;0;AFILIADO;1;PEQUEÑA
1964;NULL;SAS;19751201;20200616;SOGAMOSO;C;2395; Fabricacion de articulos de hormigon  cemento y yeso;PREFABRICADOS;INDUSTRIAS Y MANUFACTURERAS;2982755939;0;NO AFILIADO;29;MICRO
2085;NULL;PERSONA;19760615;20200204;SOGAMOSO;G;4771; Comercio al por menor de prendas de vestir y sus accesorios (incluye articulos de piel) en establecimientos especializados;COMERCIO ROPA Y TEXTILES;COMERCIO AL POR MAYOR Y AL POR MENOR/REPARACION DE VEHICULOS AUTOMOTORES Y MOTOCICLETAS;18000000;0;NO AFILIADO;1;PEQUEÑA
2115;NULL;PERSONA;19760802;20200213;SOGAMOSO;G;4719; Comercio al por menor en establecimientos no especializados  con surtido compuesto principalmente por productos diferentes de alimentos (viveres en general)  bebidas y tabaco;MISCELANEAS;COMERCIO AL POR MAYOR Y AL POR MENOR/REPARACION DE VEHICULOS AUTOMOTORES Y MOTOCICLETAS;2712000;0;NO AFILIADO;1;PEQUEÑA
2176;NULL;PERSONA;19760903;20200623;SOGAMOSO;G;4751; Comercio al por menor de productos textiles en establecimientos especializados;COMERCIO ROPA Y TEXTILES;COMERCIO AL POR MAYOR Y AL POR MENOR/REPARACION DE VEHICULOS AUTOMOTORES Y MOTOCICLETAS;37000000;0;AFILIADO;1;PEQUEÑA
2260;NULL;SOC. ANONIMA;19761118;20200603;PESCA;C;2012; Fabricacion de abonos y compuestos inorganicos nitrogenados;PRODUCTOS QUIMICOS;INDUSTRIAS Y MANUFACTURERAS;16701524693;0;AFILIADO;100;MEDIANA
2288;NULL;PERSONA;19761223;20200303;SOGAMOSO;B;510; Extraccion de hulla (carbon de piedra);EXTRACCION DE CARBÓN;EXPLOTACION DE MINAS Y CANTERAS;5000000;0;NO AFILIADO;1;MICRO
2625;NULL;PERSONA;19770826;20200120;SOGAMOSO;G;4762; Comercio al por menor de articulos deportivos  en establecimientos especializados;ARTICULOS DEPORTIVOS;COMERCIO AL POR MAYOR Y AL POR MENOR/REPARACION DE VEHICULOS AUTOMOTORES Y MOTOCICLETAS;400000;0;NO AFILIADO;1;MICRO
2674;NULL;PERSONA;19770829;20200618;SOGAMOSO;C;1081; Elaboracion de productos de panaderia;PANADERIAS;INDUSTRIAS Y MANUFACTURERAS;6000000;0;NO AFILIADO;1;MICRO
2836;NULL;PERSONA;19770831;20200701;SOGAMOSO;I;5511; Alojamiento en hoteles;HOTELES Y OTROS TIPOS DE ALOJAMIENTO;ALOJAMIENTO Y SERVICIOS DE COMIDA;8500000;0;NO AFILIADO;1;PEQUEÑA
